condition,concept_id,concept,recovery_score,best_recovery_latent,group,layer,scale,seed,sae_latents
std_L1_mixed,0,random_0,0.054091247700283535,367,random,8,0.05,0,512
std_L1_mixed,1,random_1,0.06269378999662406,170,random,8,0.05,0,512
std_L1_mixed,2,random_2,0.048436615591006,239,random,8,0.05,0,512
std_L1_mixed,3,random_3,0.03135769688453996,2,random,8,0.05,0,512
std_L1_mixed,4,random_4,0.05609225840744439,487,random,8,0.05,0,512
std_L1_mixed,5,random_5,0.04791984381419664,91,random,8,0.05,0,512
std_L1_mixed,6,random_6,0.06611849364738552,333,random,8,0.05,0,512
std_L1_mixed,7,random_7,0.0753354667059346,232,random,8,0.05,0,512
std_L1_mixed,8,random_8,0.05535197828280237,55,random,8,0.05,0,512
std_L1_mixed,9,random_9,0.07076626348953227,165,random,8,0.05,0,512
topK_mixed,0,random_0,0.05733883666270928,242,random,8,0.05,0,512
topK_mixed,1,random_1,0.05447922565801902,95,random,8,0.05,0,512
topK_mixed,2,random_2,0.05388766632086671,507,random,8,0.05,0,512
topK_mixed,3,random_3,0.030920428114337865,370,random,8,0.05,0,512
topK_mixed,4,random_4,0.05751935581330823,54,random,8,0.05,0,512
topK_mixed,5,random_5,0.04767253581866985,453,random,8,0.05,0,512
topK_mixed,6,random_6,0.055805829503384204,154,random,8,0.05,0,512
topK_mixed,7,random_7,0.06545290972940276,21,random,8,0.05,0,512
topK_mixed,8,random_8,0.04553047118008791,360,random,8,0.05,0,512
topK_mixed,9,random_9,0.06759521395503204,477,random,8,0.05,0,512
paired_delta,0,random_0,0.9942998820938918,30,random,8,0.05,0,512
paired_delta,1,random_1,0.9935261142953535,159,random,8,0.05,0,512
paired_delta,2,random_2,0.9939701014131908,203,random,8,0.05,0,512
paired_delta,3,random_3,0.9940561392766052,356,random,8,0.05,0,512
paired_delta,4,random_4,0.9936042307072261,441,random,8,0.05,0,512
paired_delta,5,random_5,0.9937051264923679,262,random,8,0.05,0,512
paired_delta,6,random_6,0.9940218094075687,232,random,8,0.05,0,512
paired_delta,7,random_7,0.9937015945360003,475,random,8,0.05,0,512
paired_delta,8,random_8,0.9934223194257367,217,random,8,0.05,0,512
paired_delta,9,random_9,0.9937518209748367,252,random,8,0.05,0,512
random_pair,0,random_0,0.0468945458542492,186,random,8,0.05,0,512
random_pair,1,random_1,0.04737212446494017,294,random,8,0.05,0,512
random_pair,2,random_2,0.05308174556291289,215,random,8,0.05,0,512
random_pair,3,random_3,0.04566921403171644,180,random,8,0.05,0,512
random_pair,4,random_4,0.07368587016743966,400,random,8,0.05,0,512
random_pair,5,random_5,0.07566341730042014,453,random,8,0.05,0,512
random_pair,6,random_6,0.056379972662012744,339,random,8,0.05,0,512
random_pair,7,random_7,0.05360481358344382,496,random,8,0.05,0,512
random_pair,8,random_8,0.06543728028647121,169,random,8,0.05,0,512
random_pair,9,random_9,0.05597858138761723,221,random,8,0.05,0,512
