direction_group,layer,signal_scale,sae_latents,l1_coef,condition,mean_recovery_mean,mean_recovery_std,frac_recovered_mean,frac_recovered_std,mean_snr
random,4,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0
random,4,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0
random,4,0.005,512,0.001,random_pair_delta_control,0.05329853505356568,0.0022144461239524175,0.0,0.0,0.0
random,4,0.005,512,0.001,standard_L1_K512_mixed,0.053212225259106245,0.0008829729489015055,0.0,0.0,0.0
random,4,0.005,512,0.001,topK20_K512_mixed,0.05332004909256192,0.0021656035725981077,0.0,0.0,0.0
random,4,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0
random,4,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0
random,4,0.005,2048,0.001,random_pair_delta_control,0.061684645360355415,0.0044288432615157206,0.0,0.0,0.0
random,4,0.005,2048,0.001,standard_L1_K2048_mixed,0.05995120597715344,0.0017256264734504068,0.0,0.0,0.0
random,4,0.005,2048,0.001,topK20_K2048_mixed,0.06263999828053261,0.004030635868678444,0.0,0.0,0.0
random,4,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0
random,4,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0
random,4,0.01,512,0.001,random_pair_delta_control,0.05338387601794142,0.0017347914400392833,0.0,0.0,0.0
random,4,0.01,512,0.001,standard_L1_K512_mixed,0.053082717944768265,0.001108545280397913,0.0,0.0,0.0
random,4,0.01,512,0.001,topK20_K512_mixed,0.049928436604928406,0.00048145715550215545,0.0,0.0,0.0
random,4,0.01,2048,0.001,delta_K2048,0.15479388161846327,0.13900306729745657,0.13333333333333333,0.1527525231651947,0.0
random,4,0.01,2048,0.001,random_label_control,0.006187319825470766,0.005912871574223584,0.0,0.0,0.0
random,4,0.01,2048,0.001,random_pair_delta_control,0.06141332185938866,0.005380677943479317,0.0,0.0,0.0
random,4,0.01,2048,0.001,standard_L1_K2048_mixed,0.05958887092060544,0.0016855561926264078,0.0,0.0,0.0
random,4,0.01,2048,0.001,topK20_K2048_mixed,0.060800006220446935,0.0009538114559937025,0.0,0.0,0.0
random,4,0.02,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0
random,4,0.02,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0
random,4,0.02,512,0.001,random_pair_delta_control,0.053439103797133035,0.001982022099190439,0.0,0.0,0.0
random,4,0.02,512,0.001,standard_L1_K512_mixed,0.05312640043927865,0.001120207009115637,0.0,0.0,0.0
random,4,0.02,512,0.001,topK20_K512_mixed,0.05343990367278364,0.0005797532858988005,0.0,0.0,0.0
random,4,0.02,2048,0.001,delta_K2048,0.9772834253676003,0.011055333745689986,1.0,0.0,0.0
random,4,0.02,2048,0.001,random_label_control,0.03650975208369014,0.00028200483746656667,0.0,0.0,0.0
random,4,0.02,2048,0.001,random_pair_delta_control,0.061113920077824534,0.004138440179086628,0.0,0.0,0.0
random,4,0.02,2048,0.001,standard_L1_K2048_mixed,0.06001784465993689,0.0015935210397857195,0.0,0.0,0.0
random,4,0.02,2048,0.001,topK20_K2048_mixed,0.06308176968014083,0.00643056849652726,0.0,0.0,0.0
random,4,0.05,512,0.001,delta_K512,0.9937363230547893,0.0002344396645428108,1.0,0.0,0.0
random,4,0.05,512,0.001,random_label_control,0.03659261737753459,0.0022516234645777377,0.0,0.0,0.0
