direction_group,layer,seed,signal_scale,sae_latents,l1_coef,condition,concept_id,concept,snr,recovery_score,best_latent
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,0,exacerbate,3.327,0.055606473214045236,480
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,1,mitigate,3.282,0.0492409553125989,446
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,2,ameliorate,3.392,0.05239680961931206,199
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,3,Redis,3.405,0.053460364918475854,163
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,4,Kubernetes,3.478,0.04809975490373702,95
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,5,arbitrage,3.554,0.07565780779711653,357
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,6,PostgreSQL,3.47,0.05587886565422925,301
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,7,metaphor about memory loss,3.409,0.04634165509158644,390
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,8,telomerase,3.544,0.05879137790673746,215
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,9,regret about financial decisions,3.359,0.04702409081478244,407
weak,4,0,0.005,512,0.001,topK20_K512_mixed,0,exacerbate,3.327,0.055296797860184876,435
weak,4,0,0.005,512,0.001,topK20_K512_mixed,1,mitigate,3.282,0.04612961211026608,132
weak,4,0,0.005,512,0.001,topK20_K512_mixed,2,ameliorate,3.392,0.053887666320556436,291
weak,4,0,0.005,512,0.001,topK20_K512_mixed,3,Redis,3.405,0.05369415024731547,54
weak,4,0,0.005,512,0.001,topK20_K512_mixed,4,Kubernetes,3.478,0.05614301295264386,100
weak,4,0,0.005,512,0.001,topK20_K512_mixed,5,arbitrage,3.554,0.058666817678791124,63
weak,4,0,0.005,512,0.001,topK20_K512_mixed,6,PostgreSQL,3.47,0.052029632953289766,158
weak,4,0,0.005,512,0.001,topK20_K512_mixed,7,metaphor about memory loss,3.409,0.05379068318411194,276
