direction_group,layer,seed,signal_scale,sae_latents,l1_coef,condition,mean_recovery,median_recovery,min_recovery,max_recovery,frac_recovered,mean_snr
weak,4,0,0.005,512,0.001,standard_L1_K512_mixed,0.05424981552326212,0.05292858726889396,0.04634165509158644,0.07565780779711653,0.0,3.4219999999999997
weak,4,0,0.005,512,0.001,topK20_K512_mixed,0.054098406071657876,0.054436464707828064,0.04612961211026608,0.058666817678791124,0.0,3.4219999999999997
weak,4,0,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.005,512,0.001,random_pair_delta_control,0.05459047088286092,0.051244324110917186,0.04358932946720748,0.07653523003837781,0.0,3.4219999999999997
weak,4,1,0.005,512,0.001,standard_L1_K512_mixed,0.053243774854134986,0.0512429983845044,0.04521721454015734,0.06297797263148276,0.0,3.4219999999999997
weak,4,1,0.005,512,0.001,topK20_K512_mixed,0.05182944989039601,0.05322662912738331,0.04363478696851664,0.057362952507217055,0.0,3.4219999999999997
weak,4,1,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.005,512,0.001,random_pair_delta_control,0.05624689608509901,0.056333324727557685,0.048276788509368514,0.06849160222077777,0.0,3.4219999999999997
weak,4,2,0.005,512,0.001,standard_L1_K512_mixed,0.05218493428131288,0.0494997738032593,0.04296078096473943,0.07668521040818876,0.0,3.4219999999999997
weak,4,2,0.005,512,0.001,topK20_K512_mixed,0.05637362376256131,0.05418135345751198,0.046659857331782136,0.07862296419568378,0.0,3.4219999999999997
weak,4,2,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.005,512,0.001,random_pair_delta_control,0.05122664491413924,0.04926703277581576,0.04504396503960101,0.06176343374641114,0.0,3.4219999999999997
weak,4,0,0.005,2048,0.001,standard_L1_K2048_mixed,0.05919510790840545,0.05831230451191541,0.04974143308079861,0.07516178258852439,0.0,3.4219999999999997
weak,4,0,0.005,2048,0.001,topK20_K2048_mixed,0.054534447281238005,0.05356384921714631,0.040465525156256385,0.07147300902300081,0.0,3.4219999999999997
weak,4,0,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.005,2048,0.001,random_pair_delta_control,0.05777818124274588,0.05851835477487134,0.042371426411551935,0.07214325951948651,0.0,3.4219999999999997
weak,4,1,0.005,2048,0.001,standard_L1_K2048_mixed,0.06221982434257448,0.06364832061799433,0.05092668306875263,0.07250667168515056,0.0,3.4219999999999997
weak,4,1,0.005,2048,0.001,topK20_K2048_mixed,0.05938058546833297,0.056227894105665206,0.05254097331855174,0.07663645859737775,0.0,3.4219999999999997
weak,4,1,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.005,2048,0.001,random_pair_delta_control,0.06722770064869835,0.06785911339329631,0.0518127600918716,0.07771623929173256,0.0,3.4219999999999997
weak,4,2,0.005,2048,0.001,standard_L1_K2048_mixed,0.05842673423449572,0.05554392541102585,0.05278646403103436,0.07100245403270465,0.0,3.4219999999999997
weak,4,2,0.005,2048,0.001,topK20_K2048_mixed,0.06287141382364254,0.05815477609314382,0.053407216922284936,0.08009254357462019,0.0,3.4219999999999997
weak,4,2,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
