direction_group,concept_id,target,baseline,domain,snr,raw_direction_norm
weak,0,exacerbate,worsen,subtle,3.327,10.485923767089844
weak,1,mitigate,reduce,subtle,3.282,11.940317153930664
weak,2,ameliorate,improve,subtle,3.392,17.24237823486328
weak,3,Redis,data store,software_rare,3.405,26.837265014648438
weak,4,Kubernetes,container system,software_rare,3.478,22.86324691772461
weak,5,arbitrage,price difference trade,finance_rare,3.554,18.164180755615234
weak,6,PostgreSQL,database system,software_rare,3.47,23.202665328979492
weak,7,metaphor about memory loss,metaphor,compound,3.409,21.034700393676758
weak,8,telomerase,chromosome enzyme,medical_rare,3.544,14.517012596130371
weak,9,regret about financial decisions,regret,compound,3.359,21.378679275512695
