source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,0,exacerbate,0.17004879713058468,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,1,mitigate,0.14990929663181302,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,2,ameliorate,0.14041538834571834,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,3,Redis,0.15838172435760495,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,4,Kubernetes,0.14805222451686856,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,5,arbitrage,0.15282684564590449,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,6,PostgreSQL,0.16148551106452938,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,7,metaphor about memory loss,0.14521034061908716,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,8,telomerase,0.15566549599170681,,
internal,std_L1,Your L1 mixed,weak,4,0.0,0.05,2048.0,9,regret about financial decisions,0.1504351496696472,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,0,exacerbate,0.172149983048439,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,1,mitigate,0.1354610532522201,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,2,ameliorate,0.19764952361583704,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,3,Redis,0.18719510138034817,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,4,Kubernetes,0.17302385270595547,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,5,arbitrage,0.1554614305496215,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,6,PostgreSQL,0.17628616690635676,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,7,metaphor about memory loss,0.18643449544906612,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,8,telomerase,0.1466142982244491,,
internal,topK20,Your TopK mixed,weak,4,0.0,0.05,2048.0,9,regret about financial decisions,0.17686824202537532,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,0,exacerbate,0.5153856158256531,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,1,mitigate,0.5505233526229858,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,2,ameliorate,0.5237987041473389,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,3,Redis,0.5862845301628112,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,4,Kubernetes,0.5214577078819275,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,5,arbitrage,0.49221030473709104,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,6,PostgreSQL,0.5021289229393006,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,7,metaphor about memory loss,0.6615538358688354,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,8,telomerase,0.48314175605773924,,
internal,delta,Your paired delta,weak,4,0.0,0.05,2048.0,9,regret about financial decisions,0.6085644125938415,,
internal,rand_pair,Your random-pair,weak,4,0.0,0.05,2048.0,0,exacerbate,0.17231863141059872,,
internal,rand_pair,Your random-pair,weak,4,0.0,0.05,2048.0,1,mitigate,0.17033406198024745,,
