source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,0,random_0,0.13472216427326197,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,1,random_1,0.12548277080059048,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,2,random_2,0.12283518016338343,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,3,random_3,0.12353028059005733,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,4,random_4,0.12296263575553887,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,5,random_5,0.14548199772834775,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,6,random_6,0.13530666828155513,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,7,random_7,0.1255308628082275,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,8,random_8,0.125277791917324,,
internal,std_L1,Your L1 mixed,random,10,0.0,0.05,2048.0,9,random_9,0.11894359886646269,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,0,random_0,0.12640658915042874,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,1,random_1,0.11606072783470149,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,2,random_2,0.14534817636013025,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,3,random_3,0.14243727624416347,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,4,random_4,0.13458108901977534,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,5,random_5,0.12097912430763243,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,6,random_6,0.13862175345420835,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,7,random_7,0.1177497804164886,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,8,random_8,0.1278384029865265,,
internal,topK20,Your TopK mixed,random,10,0.0,0.05,2048.0,9,random_9,0.14053111076354977,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,0,random_0,0.6333625674247741,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,1,random_1,0.5796788215637207,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,2,random_2,0.5418742179870606,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,3,random_3,0.5781023859977722,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,4,random_4,0.49341681599617004,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,5,random_5,0.4844497084617615,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,6,random_6,0.5538415551185608,,
internal,delta,Your paired delta,random,10,0.0,0.05,2048.0,7,random_7,0.6479527950286865,,
