source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,0,sports,0.20978554189205165,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,1,technology,0.23648045957088465,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,2,science,0.32542180418968203,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,3,music,0.32194898724555965,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,4,weather,0.24419519305229181,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,2048.0,5,food,0.16743507981300348,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,0,sports,0.1857671707868576,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,1,technology,0.26689994335174555,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,2,science,0.1953146904706955,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,3,music,0.1961773991584778,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,4,weather,0.19179260730743403,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,2048.0,5,food,0.16342238485813138,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,0,sports,0.6063172221183777,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,1,technology,0.6535961270332337,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,2,science,0.7577337265014649,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,3,music,0.7071618556976318,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,4,weather,0.8291301131248474,,
internal,delta,Your paired delta,strong,4,0.0,0.05,2048.0,5,food,0.6787939190864563,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,0,sports,0.18170450627803797,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,1,technology,0.2649903178215027,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,2,science,0.2155950605869293,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,3,music,0.22107805311679835,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,4,weather,0.23568345904350277,,
internal,rand_pair,Your random-pair,strong,4,0.0,0.05,2048.0,5,food,0.18186739981174466,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,0,sports,0.27997187376022337,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,1,technology,0.28391039371490473,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,2,science,0.30924372076988216,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,3,music,0.275424063205719,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,4,weather,0.2860129594802856,,
internal,std_L1,Your L1 mixed,strong,4,0.0,0.05,512.0,5,food,0.18527362942695613,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,0,sports,0.23884003758430478,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,1,technology,0.2527962803840637,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,2,science,0.2631037592887878,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,3,music,0.2192526757717132,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,4,weather,0.280259108543396,,
internal,topK20,Your TopK mixed,strong,4,0.0,0.05,512.0,5,food,0.18069509267807005,,
internal,delta,Your paired delta,strong,4,0.0,0.05,512.0,0,sports,0.9811609268188477,,
internal,delta,Your paired delta,strong,4,0.0,0.05,512.0,1,technology,0.995453131198883,,
internal,delta,Your paired delta,strong,4,0.0,0.05,512.0,2,science,0.9324795246124268,,
internal,delta,Your paired delta,strong,4,0.0,0.05,512.0,3,music,0.9923158049583435,,
internal,delta,Your paired delta,strong,4,0.0,0.05,512.0,4,weather,0.9636250138282776,,
