source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,0,random_0,0.1375791102647781
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,1,random_1,0.14200780689716336
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,2,random_2,0.12672887742519376
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,3,random_3,0.14597848951816556
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,4,random_4,0.12439007610082622
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,5,random_5,0.15975599288940426
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,6,random_6,0.12309248298406597
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,7,random_7,0.14212504327297207
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,8,random_8,0.13262243866920467
internal,std_L1,Your L1 mixed,random,4,0,0.05,2048,9,random_9,0.14487020373344417
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,0,random_0,0.13025549352169036
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,1,random_1,0.13470903337001797
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,2,random_2,0.11590885818004606
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,3,random_3,0.14302187561988827
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,4,random_4,0.1304517984390258
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,5,random_5,0.1171958968043327
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,6,random_6,0.1104149460792541
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,7,random_7,0.13041095435619354
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,8,random_8,0.1214283779263496
internal,topK20,Your TopK mixed,random,4,0,0.05,2048,9,random_9,0.1214831322431564
internal,delta,Your paired delta,random,4,0,0.05,2048,0,random_0,0.5605680704116821
internal,delta,Your paired delta,random,4,0,0.05,2048,1,random_1,0.5441662669181824
internal,delta,Your paired delta,random,4,0,0.05,2048,2,random_2,0.5471921920776367
internal,delta,Your paired delta,random,4,0,0.05,2048,3,random_3,0.5487115621566773
internal,delta,Your paired delta,random,4,0,0.05,2048,4,random_4,0.6067919254302978
internal,delta,Your paired delta,random,4,0,0.05,2048,5,random_5,0.6013704776763916
internal,delta,Your paired delta,random,4,0,0.05,2048,6,random_6,0.7275973200798035
internal,delta,Your paired delta,random,4,0,0.05,2048,7,random_7,0.4640357196331024
internal,delta,Your paired delta,random,4,0,0.05,2048,8,random_8,0.5051397740840912
internal,delta,Your paired delta,random,4,0,0.05,2048,9,random_9,0.5312510848045349
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,0,random_0,0.14108081758022306
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,1,random_1,0.17360982894897456
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,2,random_2,0.13795126080512998
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,3,random_3,0.1268043875694275
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,4,random_4,0.12547531276941296
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,5,random_5,0.12142598479986189
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,6,random_6,0.11874578893184658
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,7,random_7,0.12036430984735487
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,8,random_8,0.11037227660417555
internal,rand_pair,Your random-pair,random,4,0,0.05,2048,9,random_9,0.12423516958951944
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,0,random_0,0.10906175822019573
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,1,random_1,0.12345979064702983
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,2,random_2,0.13064975142478935
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,3,random_3,0.11873956322669979
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,4,random_4,0.1138371109962463
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,5,random_5,0.1385411739349365
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,6,random_6,0.12248655706644054
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,7,random_7,0.14562254250049586
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,8,random_8,0.12055083513259883
internal,std_L1,Your L1 mixed,random,4,0,0.05,512,9,random_9,0.12474094033241268
internal,topK20,Your TopK mixed,random,4,0,0.05,512,0,random_0,0.11561208069324487
internal,topK20,Your TopK mixed,random,4,0,0.05,512,1,random_1,0.11275370568037031
internal,topK20,Your TopK mixed,random,4,0,0.05,512,2,random_2,0.1070009171962738
internal,topK20,Your TopK mixed,random,4,0,0.05,512,3,random_3,0.13010090291500087
internal,topK20,Your TopK mixed,random,4,0,0.05,512,4,random_4,0.1150933131575584
internal,topK20,Your TopK mixed,random,4,0,0.05,512,5,random_5,0.13791889846324915
internal,topK20,Your TopK mixed,random,4,0,0.05,512,6,random_6,0.1263927817344665
internal,topK20,Your TopK mixed,random,4,0,0.05,512,7,random_7,0.11339880526065824
internal,topK20,Your TopK mixed,random,4,0,0.05,512,8,random_8,0.11667977273464196
internal,topK20,Your TopK mixed,random,4,0,0.05,512,9,random_9,0.12684856951236725
internal,delta,Your paired delta,random,4,0,0.05,512,0,random_0,0.9748795986175537
internal,delta,Your paired delta,random,4,0,0.05,512,1,random_1,0.9480792164802552
internal,delta,Your paired delta,random,4,0,0.05,512,2,random_2,0.9254632711410522
internal,delta,Your paired delta,random,4,0,0.05,512,3,random_3,0.9934536814689636
internal,delta,Your paired delta,random,4,0,0.05,512,4,random_4,0.9104740858078003
internal,delta,Your paired delta,random,4,0,0.05,512,5,random_5,0.9630461692810058
internal,delta,Your paired delta,random,4,0,0.05,512,6,random_6,0.9461062908172607
internal,delta,Your paired delta,random,4,0,0.05,512,7,random_7,0.9999998927116394
internal,delta,Your paired delta,random,4,0,0.05,512,8,random_8,0.9963715195655822
internal,delta,Your paired delta,random,4,0,0.05,512,9,random_9,0.9299544334411621
internal,rand_pair,Your random-pair,random,4,0,0.05,512,0,random_0,0.12001615017652507
internal,rand_pair,Your random-pair,random,4,0,0.05,512,1,random_1,0.11785583943128582
internal,rand_pair,Your random-pair,random,4,0,0.05,512,2,random_2,0.09201055914163586
internal,rand_pair,Your random-pair,random,4,0,0.05,512,3,random_3,0.11815251559019084
internal,rand_pair,Your random-pair,random,4,0,0.05,512,4,random_4,0.11039765030145643
internal,rand_pair,Your random-pair,random,4,0,0.05,512,5,random_5,0.10491162240505217
internal,rand_pair,Your random-pair,random,4,0,0.05,512,6,random_6,0.1282956004142761
internal,rand_pair,Your random-pair,random,4,0,0.05,512,7,random_7,0.09778144061565396
internal,rand_pair,Your random-pair,random,4,0,0.05,512,8,random_8,0.10688944011926646
internal,rand_pair,Your random-pair,random,4,0,0.05,512,9,random_9,0.12909176051616664
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,0,random_0,0.13713284432888026
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,1,random_1,0.11898117512464519
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,2,random_2,0.12258846610784528
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,3,random_3,0.12169540822505949
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,4,random_4,0.12692093551158903
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,5,random_5,0.13281568586826323
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,6,random_6,0.12622115612030024
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,7,random_7,0.14079141020774838
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,8,random_8,0.14384468495845792
internal,std_L1,Your L1 mixed,random,4,1,0.05,2048,9,random_9,0.1134676158428192
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,0,random_0,0.12067358642816536
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,1,random_1,0.13877811431884762
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,2,random_2,0.12925836741924282
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,3,random_3,0.12482201904058454
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,4,random_4,0.12168038487434378
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,5,random_5,0.14272231757640835
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,6,random_6,0.131985130906105
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,7,random_7,0.12706787884235377
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,8,random_8,0.10723629891872402
internal,topK20,Your TopK mixed,random,4,1,0.05,2048,9,random_9,0.12589189708232873
internal,delta,Your paired delta,random,4,1,0.05,2048,0,random_0,0.7066244840621948
internal,delta,Your paired delta,random,4,1,0.05,2048,1,random_1,0.5317042708396912
internal,delta,Your paired delta,random,4,1,0.05,2048,2,random_2,0.45374021530151365
internal,delta,Your paired delta,random,4,1,0.05,2048,3,random_3,0.519806444644928
internal,delta,Your paired delta,random,4,1,0.05,2048,4,random_4,0.5718228578567505
internal,delta,Your paired delta,random,4,1,0.05,2048,5,random_5,0.4875479757785797
internal,delta,Your paired delta,random,4,1,0.05,2048,6,random_6,0.5800273060798645
internal,delta,Your paired delta,random,4,1,0.05,2048,7,random_7,0.5651020169258117
internal,delta,Your paired delta,random,4,1,0.05,2048,8,random_8,0.5078666806221008
internal,delta,Your paired delta,random,4,1,0.05,2048,9,random_9,0.5991591095924378
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,0,random_0,0.11970862448215477
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,1,random_1,0.12110501676797865
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,2,random_2,0.11499054729938504
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,3,random_3,0.1222852081060409
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,4,random_4,0.12807264626026152
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,5,random_5,0.11824600696563717
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,6,random_6,0.10578090995550152
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,7,random_7,0.12847502827644347
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,8,random_8,0.13258593976497646
internal,rand_pair,Your random-pair,random,4,1,0.05,2048,9,random_9,0.12321864217519755
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,0,random_0,0.11784412711858745
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,1,random_1,0.11889610737562176
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,2,random_2,0.10842505544424053
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,3,random_3,0.14034976363182067
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,4,random_4,0.12499120384454723
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,5,random_5,0.09621376544237134
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,6,random_6,0.1155826926231384
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,7,random_7,0.12593625783920284
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,8,random_8,0.10546592622995372
internal,std_L1,Your L1 mixed,random,4,1,0.05,512,9,random_9,0.14863876998424524
internal,topK20,Your TopK mixed,random,4,1,0.05,512,0,random_0,0.14798144102096553
internal,topK20,Your TopK mixed,random,4,1,0.05,512,1,random_1,0.11649055480957027
internal,topK20,Your TopK mixed,random,4,1,0.05,512,2,random_2,0.10405103266239162
internal,topK20,Your TopK mixed,random,4,1,0.05,512,3,random_3,0.11120617389678951
internal,topK20,Your TopK mixed,random,4,1,0.05,512,4,random_4,0.12124331444501876
internal,topK20,Your TopK mixed,random,4,1,0.05,512,5,random_5,0.1577564775943756
internal,topK20,Your TopK mixed,random,4,1,0.05,512,6,random_6,0.1136182323098182
internal,topK20,Your TopK mixed,random,4,1,0.05,512,7,random_7,0.10697631388902659
internal,topK20,Your TopK mixed,random,4,1,0.05,512,8,random_8,0.10620525330305094
internal,topK20,Your TopK mixed,random,4,1,0.05,512,9,random_9,0.10551910698413847
internal,delta,Your paired delta,random,4,1,0.05,512,0,random_0,0.9612086892127991
internal,delta,Your paired delta,random,4,1,0.05,512,1,random_1,0.9576655507087708
internal,delta,Your paired delta,random,4,1,0.05,512,2,random_2,0.9623826026916504
internal,delta,Your paired delta,random,4,1,0.05,512,3,random_3,0.9779734253883362
internal,delta,Your paired delta,random,4,1,0.05,512,4,random_4,0.9191333413124084
internal,delta,Your paired delta,random,4,1,0.05,512,5,random_5,0.9754241704940796
internal,delta,Your paired delta,random,4,1,0.05,512,6,random_6,0.9937162637710572
internal,delta,Your paired delta,random,4,1,0.05,512,7,random_7,0.9700864315032959
internal,delta,Your paired delta,random,4,1,0.05,512,8,random_8,0.9459565997123718
internal,delta,Your paired delta,random,4,1,0.05,512,9,random_9,0.9598430514335632
internal,rand_pair,Your random-pair,random,4,1,0.05,512,0,random_0,0.11203763484954829
internal,rand_pair,Your random-pair,random,4,1,0.05,512,1,random_1,0.11001459360122676
internal,rand_pair,Your random-pair,random,4,1,0.05,512,2,random_2,0.1303698569536209
internal,rand_pair,Your random-pair,random,4,1,0.05,512,3,random_3,0.10520566701889031
internal,rand_pair,Your random-pair,random,4,1,0.05,512,4,random_4,0.10885576009750361
internal,rand_pair,Your random-pair,random,4,1,0.05,512,5,random_5,0.09776640683412548
internal,rand_pair,Your random-pair,random,4,1,0.05,512,6,random_6,0.10738329440355295
internal,rand_pair,Your random-pair,random,4,1,0.05,512,7,random_7,0.10365716665983196
internal,rand_pair,Your random-pair,random,4,1,0.05,512,8,random_8,0.10607645809650419
internal,rand_pair,Your random-pair,random,4,1,0.05,512,9,random_9,0.1336922526359558
internal,std_L1,Your L1 mixed,random,4,2,0.05,2048,0,random_0,0.13281265795230862
internal,std_L1,Your L1 mixed,random,4,2,0.05,2048,1,random_1,0.11434021145105358
internal,std_L1,Your L1 mixed,random,4,2,0.05,2048,2,random_2,0.11357875615358348
