source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,0,exacerbate,0.17004879713058468
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,1,mitigate,0.14990929663181302
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,2,ameliorate,0.14041538834571834
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,3,Redis,0.15838172435760495
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,4,Kubernetes,0.14805222451686856
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,5,arbitrage,0.15282684564590449
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,6,PostgreSQL,0.16148551106452938
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,7,metaphor about memory loss,0.14521034061908716
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,8,telomerase,0.15566549599170681
internal,std_L1,Your L1 mixed,weak,4,0,0.05,2048,9,regret about financial decisions,0.1504351496696472
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,0,exacerbate,0.172149983048439
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,1,mitigate,0.1354610532522201
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,2,ameliorate,0.19764952361583704
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,3,Redis,0.18719510138034817
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,4,Kubernetes,0.17302385270595547
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,5,arbitrage,0.1554614305496215
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,6,PostgreSQL,0.17628616690635676
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,7,metaphor about memory loss,0.18643449544906612
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,8,telomerase,0.1466142982244491
internal,topK20,Your TopK mixed,weak,4,0,0.05,2048,9,regret about financial decisions,0.17686824202537532
internal,delta,Your paired delta,weak,4,0,0.05,2048,0,exacerbate,0.5153856158256531
internal,delta,Your paired delta,weak,4,0,0.05,2048,1,mitigate,0.5505233526229858
internal,delta,Your paired delta,weak,4,0,0.05,2048,2,ameliorate,0.5237987041473389
internal,delta,Your paired delta,weak,4,0,0.05,2048,3,Redis,0.5862845301628112
internal,delta,Your paired delta,weak,4,0,0.05,2048,4,Kubernetes,0.5214577078819275
internal,delta,Your paired delta,weak,4,0,0.05,2048,5,arbitrage,0.49221030473709104
internal,delta,Your paired delta,weak,4,0,0.05,2048,6,PostgreSQL,0.5021289229393006
internal,delta,Your paired delta,weak,4,0,0.05,2048,7,metaphor about memory loss,0.6615538358688354
internal,delta,Your paired delta,weak,4,0,0.05,2048,8,telomerase,0.48314175605773924
internal,delta,Your paired delta,weak,4,0,0.05,2048,9,regret about financial decisions,0.6085644125938415
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,0,exacerbate,0.17231863141059872
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,1,mitigate,0.17033406198024745
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,2,ameliorate,0.15418918430805204
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,3,Redis,0.16514795720577236
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,4,Kubernetes,0.1672424733638763
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,5,arbitrage,0.14350565373897547
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,6,PostgreSQL,0.17566701173782345
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,7,metaphor about memory loss,0.1495935440063476
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,8,telomerase,0.16183774769306178
internal,rand_pair,Your random-pair,weak,4,0,0.05,2048,9,regret about financial decisions,0.18720221817493435
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,0,exacerbate,0.193557059764862
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,1,mitigate,0.19453372061252588
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,2,ameliorate,0.2082547545433044
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,3,Redis,0.20336324572563166
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,4,Kubernetes,0.21898421347141261
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,5,arbitrage,0.18527917265892027
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,6,PostgreSQL,0.17021157741546628
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,7,metaphor about memory loss,0.1836001873016357
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,8,telomerase,0.20149219334125518
internal,std_L1,Your L1 mixed,weak,4,0,0.05,512,9,regret about financial decisions,0.252295982837677
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,0,exacerbate,0.16707089543342588
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,1,mitigate,0.1599350273609161
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,2,ameliorate,0.1511316746473312
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,3,Redis,0.2092578202486038
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,4,Kubernetes,0.17983217835426327
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,5,arbitrage,0.1794284403324127
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,6,PostgreSQL,0.18516135513782497
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,7,metaphor about memory loss,0.17966184020042414
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,8,telomerase,0.14786319136619563
internal,topK20,Your TopK mixed,weak,4,0,0.05,512,9,regret about financial decisions,0.2440025150775909
internal,delta,Your paired delta,weak,4,0,0.05,512,0,exacerbate,0.9887887716293335
internal,delta,Your paired delta,weak,4,0,0.05,512,1,mitigate,0.9944774746894837
internal,delta,Your paired delta,weak,4,0,0.05,512,2,ameliorate,0.9908360838890076
internal,delta,Your paired delta,weak,4,0,0.05,512,3,Redis,0.9202949523925781
internal,delta,Your paired delta,weak,4,0,0.05,512,4,Kubernetes,0.9941412091255188
internal,delta,Your paired delta,weak,4,0,0.05,512,5,arbitrage,0.9598343014717102
internal,delta,Your paired delta,weak,4,0,0.05,512,6,PostgreSQL,0.9727602958679199
internal,delta,Your paired delta,weak,4,0,0.05,512,7,metaphor about memory loss,0.9875458717346192
internal,delta,Your paired delta,weak,4,0,0.05,512,8,telomerase,0.9982349634170532
internal,delta,Your paired delta,weak,4,0,0.05,512,9,regret about financial decisions,0.9742170810699463
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,0,exacerbate,0.17486203014850615
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,1,mitigate,0.16934800744056694
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,2,ameliorate,0.20287613868713378
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,3,Redis,0.17566034495830532
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,4,Kubernetes,0.17068339288234705
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,5,arbitrage,0.15679636895656582
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,6,PostgreSQL,0.21156562864780426
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,7,metaphor about memory loss,0.19373518526554104
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,8,telomerase,0.1758888572454452
internal,rand_pair,Your random-pair,weak,4,0,0.05,512,9,regret about financial decisions,0.19801052808761593
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,0,exacerbate,0.16587953865528102
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,1,mitigate,0.161954715847969
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,2,ameliorate,0.18540220260620113
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,3,Redis,0.15744196474552152
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,4,Kubernetes,0.15846869051456447
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,5,arbitrage,0.176570850610733
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,6,PostgreSQL,0.16130497157573692
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,7,metaphor about memory loss,0.17409901618957516
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,8,telomerase,0.15321819186210628
internal,std_L1,Your L1 mixed,weak,4,1,0.05,2048,9,regret about financial decisions,0.17457173168659207
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,0,exacerbate,0.1727191925048828
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,1,mitigate,0.15092220008373253
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,2,ameliorate,0.20403340458869929
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,3,Redis,0.20973087847232813
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,4,Kubernetes,0.1831491738557815
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,5,arbitrage,0.16849666237831112
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,6,PostgreSQL,0.1819570362567901
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,7,metaphor about memory loss,0.15336548984050746
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,8,telomerase,0.16909383535385128
internal,topK20,Your TopK mixed,weak,4,1,0.05,2048,9,regret about financial decisions,0.16769897639751433
internal,delta,Your paired delta,weak,4,1,0.05,2048,0,exacerbate,0.48147488832473756
internal,delta,Your paired delta,weak,4,1,0.05,2048,1,mitigate,0.5176617503166199
internal,delta,Your paired delta,weak,4,1,0.05,2048,2,ameliorate,0.466308730840683
internal,delta,Your paired delta,weak,4,1,0.05,2048,3,Redis,0.5348635077476501
internal,delta,Your paired delta,weak,4,1,0.05,2048,4,Kubernetes,0.5514223098754882
