condition,concept_id,concept,recovery_score,best_recovery_latent,group,layer,scale,seed,sae_latents
std_L1_mixed,0,sports,0.06145353540221882,239,strong,8,0.05,0,512
std_L1_mixed,1,technology,0.06817892094727238,327,strong,8,0.05,0,512
std_L1_mixed,2,science,0.054812278523752214,17,strong,8,0.05,0,512
std_L1_mixed,3,music,0.06272926879713482,188,strong,8,0.05,0,512
std_L1_mixed,4,weather,0.060313409526169995,434,strong,8,0.05,0,512
std_L1_mixed,5,food,0.06789058467406453,218,strong,8,0.05,0,512
topK_mixed,0,sports,0.07753463494733731,266,strong,8,0.05,0,512
topK_mixed,1,technology,0.06599638101811485,21,strong,8,0.05,0,512
topK_mixed,2,science,0.05015831342662649,508,strong,8,0.05,0,512
topK_mixed,3,music,0.0505137805285746,133,strong,8,0.05,0,512
topK_mixed,4,weather,0.04966982795080966,254,strong,8,0.05,0,512
topK_mixed,5,food,0.05711463501777916,86,strong,8,0.05,0,512
paired_delta,0,sports,0.9932397790441273,14,strong,8,0.05,0,512
paired_delta,1,technology,0.9940093278804514,99,strong,8,0.05,0,512
paired_delta,2,science,0.9944226886991737,228,strong,8,0.05,0,512
paired_delta,3,music,0.9939673199178821,221,strong,8,0.05,0,512
paired_delta,4,weather,0.9940596664656289,239,strong,8,0.05,0,512
paired_delta,5,food,0.9935368017125366,181,strong,8,0.05,0,512
random_pair,0,sports,0.05332002906255539,144,strong,8,0.05,0,512
random_pair,1,technology,0.04828948899502983,315,strong,8,0.05,0,512
random_pair,2,science,0.05019901776687473,370,strong,8,0.05,0,512
random_pair,3,music,0.05768968135394008,146,strong,8,0.05,0,512
random_pair,4,weather,0.05257852979351136,418,strong,8,0.05,0,512
random_pair,5,food,0.048121162743434386,435,strong,8,0.05,0,512
