source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,0,sports,0.21847218871116633,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,1,technology,0.22793223261833187,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,2,science,0.27656992673873904,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,3,music,0.22022686302661892,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,4,weather,0.24569201171398158,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,2048.0,5,food,0.18802260160446163,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,0,sports,0.3402080535888672,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,1,technology,0.3311078250408172,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,2,science,0.358502972126007,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,3,music,0.3203754723072052,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,4,weather,0.4380808711051941,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,2048.0,5,food,0.2025176078081131,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,0,sports,0.6281424999237061,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,1,technology,0.5996787428855896,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,2,science,0.5777492642402648,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,3,music,0.6341062664985657,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,4,weather,0.6389881730079651,,
internal,delta,Your paired delta,strong,10,0.0,0.05,2048.0,5,food,0.5916580200195313,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,0,sports,0.18842290639877315,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,1,technology,0.20242172181606288,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,2,science,0.23557408154010767,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,3,music,0.17982615530490875,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,4,weather,0.1967295855283737,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,2048.0,5,food,0.15667856931686397,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,0,sports,0.23627741634845728,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,1,technology,0.332192188501358,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,2,science,0.37745320200920107,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,3,music,0.31648854613304134,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,4,weather,0.3183552742004394,,
internal,std_L1,Your L1 mixed,strong,10,0.0,0.05,512.0,5,food,0.2323018610477447,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,0,sports,0.2599230110645294,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,1,technology,0.32877111434936523,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,2,science,0.30773770809173584,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,3,music,0.2323373675346374,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,4,weather,0.2541658490896225,,
internal,topK20,Your TopK mixed,strong,10,0.0,0.05,512.0,5,food,0.18647882938385005,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,0,sports,0.9915560007095336,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,1,technology,0.9722372055053711,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,2,science,0.985784113407135,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,3,music,0.9827735304832459,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,4,weather,0.9916052937507629,,
internal,delta,Your paired delta,strong,10,0.0,0.05,512.0,5,food,0.9789147853851319,,
internal,rand_pair,Your random-pair,strong,10,0.0,0.05,512.0,0,sports,0.2258263081312179,,
