source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,0,exacerbate,0.16320897340774532,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,1,mitigate,0.1625693798065185,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,2,ameliorate,0.16162140071392056,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,3,Redis,0.15377570688724512,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,4,Kubernetes,0.1713197201490402,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,5,arbitrage,0.1455714076757431,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,6,PostgreSQL,0.13605276644229888,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,7,metaphor about memory loss,0.17875383198261258,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,8,telomerase,0.16092441082000727,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,2048.0,9,regret about financial decisions,0.16606275141239163,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,0,exacerbate,0.1900102764368057,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,1,mitigate,0.16693527996540064,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,2,ameliorate,0.21739389896392822,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,3,Redis,0.16040526330471036,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,4,Kubernetes,0.19435048699378962,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,5,arbitrage,0.1906296223402023,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,6,PostgreSQL,0.1396543681621551,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,7,metaphor about memory loss,0.1632644265890121,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,8,telomerase,0.16105158329010005,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,2048.0,9,regret about financial decisions,0.1916813343763351,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,0,exacerbate,0.5622745633125306,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,1,mitigate,0.5211364269256592,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,2,ameliorate,0.503746497631073,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,3,Redis,0.4739348113536835,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,4,Kubernetes,0.48702354431152345,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,5,arbitrage,0.6578857898712158,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,6,PostgreSQL,0.6164131045341492,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,7,metaphor about memory loss,0.5291479706764222,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,8,telomerase,0.6369524955749511,,
internal,delta,Your paired delta,weak,8,0.0,0.05,2048.0,9,regret about financial decisions,0.5207968831062317,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,0,exacerbate,0.18856954276561733,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,1,mitigate,0.17624483406543728,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,2,ameliorate,0.16498881876468655,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,3,Redis,0.15007264316081997,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,4,Kubernetes,0.18366620838642117,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,5,arbitrage,0.16054080426692957,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,6,PostgreSQL,0.17545860707759853,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,7,metaphor about memory loss,0.17995526492595668,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,8,telomerase,0.1460885494947433,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,2048.0,9,regret about financial decisions,0.1937362134456634,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,0,exacerbate,0.19553732872009272,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,1,mitigate,0.18239271044731137,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,2,ameliorate,0.17766848802566526,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,3,Redis,0.1776869714260101,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,4,Kubernetes,0.17652189433574675,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,5,arbitrage,0.15530683100223538,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,6,PostgreSQL,0.2080376029014587,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,7,metaphor about memory loss,0.19966128468513486,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,8,telomerase,0.13745652139186854,,
internal,std_L1,Your L1 mixed,weak,8,0.0,0.05,512.0,9,regret about financial decisions,0.22914787828922267,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,0,exacerbate,0.19932940304279323,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,1,mitigate,0.15075592696666712,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,2,ameliorate,0.17818000912666315,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,3,Redis,0.16702603995800017,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,4,Kubernetes,0.15161004662513727,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,5,arbitrage,0.1603910088539123,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,6,PostgreSQL,0.1681485503911972,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,7,metaphor about memory loss,0.17221447527408595,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,8,telomerase,0.14327723681926724,,
internal,topK20,Your TopK mixed,weak,8,0.0,0.05,512.0,9,regret about financial decisions,0.21576980352401734,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,0,exacerbate,0.9812469720840454,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,1,mitigate,0.940360164642334,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,2,ameliorate,0.9999541878700257,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,3,Redis,0.9605972647666932,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,4,Kubernetes,0.9589701533317566,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,5,arbitrage,0.9903917789459229,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,6,PostgreSQL,0.9948140382766724,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,7,metaphor about memory loss,0.9918510794639588,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,8,telomerase,0.9257226824760437,,
internal,delta,Your paired delta,weak,8,0.0,0.05,512.0,9,regret about financial decisions,0.9350722193717956,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,0,exacerbate,0.2422889709472656,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,1,mitigate,0.1605505287647247,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,2,ameliorate,0.22656988799571987,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,3,Redis,0.18530608415603633,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,4,Kubernetes,0.22312158346176142,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,5,arbitrage,0.17156320214271542,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,6,PostgreSQL,0.19388547539710999,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,7,metaphor about memory loss,0.18010132014751432,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,8,telomerase,0.14663214087486262,,
internal,rand_pair,Your random-pair,weak,8,0.0,0.05,512.0,9,regret about financial decisions,0.16214199960231776,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,0,exacerbate,0.16735351681709285,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,1,mitigate,0.15981901586055752,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,2,ameliorate,0.15872450470924374,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,3,Redis,0.14535588324069976,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,4,Kubernetes,0.14915372431278223,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,5,arbitrage,0.1436423301696777,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,6,PostgreSQL,0.15190390944480894,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,7,metaphor about memory loss,0.17320567369461054,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,8,telomerase,0.1319222897291183,,
internal,std_L1,Your L1 mixed,weak,8,1.0,0.05,2048.0,9,regret about financial decisions,0.16097172796726222,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,0,exacerbate,0.19951473474502562,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,1,mitigate,0.150100839138031,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,2,ameliorate,0.18109504580497737,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,3,Redis,0.15252874791622156,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,4,Kubernetes,0.15272731781005855,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,5,arbitrage,0.2516722619533539,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,6,PostgreSQL,0.15847899913787838,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,7,metaphor about memory loss,0.17139651775360104,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,8,telomerase,0.15505498945713042,,
internal,topK20,Your TopK mixed,weak,8,1.0,0.05,2048.0,9,regret about financial decisions,0.1676358580589294,,
internal,delta,Your paired delta,weak,8,1.0,0.05,2048.0,0,exacerbate,0.4863483667373657,,
internal,delta,Your paired delta,weak,8,1.0,0.05,2048.0,1,mitigate,0.5101185321807862,,
internal,delta,Your paired delta,weak,8,1.0,0.05,2048.0,2,ameliorate,0.4820259869098663,,
internal,delta,Your paired delta,weak,8,1.0,0.05,2048.0,3,Redis,0.46294633150100706,,
