source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,0,random_0,0.12568785250186917
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,1,random_1,0.1323717057704925
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,2,random_2,0.11067015975713727
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,3,random_3,0.1149144515395164
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,4,random_4,0.14771633446216578
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,5,random_5,0.11606831997632976
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,6,random_6,0.12461277395486828
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,7,random_7,0.12570087611675257
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,8,random_8,0.12081530243158338
internal,std_L1,Your L1 mixed,random,8,0,0.05,2048,9,random_9,0.12320793271064752
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,0,random_0,0.11922671198844906
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,1,random_1,0.11225644350051875
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,2,random_2,0.1322572737932205
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,3,random_3,0.17220566570758813
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,4,random_4,0.1519507020711898
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,5,random_5,0.13504788577556606
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,6,random_6,0.12280967235565181
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,7,random_7,0.1229801103472709
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,8,random_8,0.126033341884613
internal,topK20,Your TopK mixed,random,8,0,0.05,2048,9,random_9,0.10888886451721189
internal,delta,Your paired delta,random,8,0,0.05,2048,0,random_0,0.6497252941131592
internal,delta,Your paired delta,random,8,0,0.05,2048,1,random_1,0.5069895803928375
internal,delta,Your paired delta,random,8,0,0.05,2048,2,random_2,0.5066315412521363
internal,delta,Your paired delta,random,8,0,0.05,2048,3,random_3,0.6180251479148865
internal,delta,Your paired delta,random,8,0,0.05,2048,4,random_4,0.557575809955597
internal,delta,Your paired delta,random,8,0,0.05,2048,5,random_5,0.5087333440780639
internal,delta,Your paired delta,random,8,0,0.05,2048,6,random_6,0.6425333738327026
internal,delta,Your paired delta,random,8,0,0.05,2048,7,random_7,0.5344449400901794
internal,delta,Your paired delta,random,8,0,0.05,2048,8,random_8,0.5218904256820679
internal,delta,Your paired delta,random,8,0,0.05,2048,9,random_9,0.5184101462364197
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,0,random_0,0.13667764961719508
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,1,random_1,0.13055938482284543
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,2,random_2,0.1192860424518585
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,3,random_3,0.12554316371679303
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,4,random_4,0.13960553705692286
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,5,random_5,0.13633591532707212
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,6,random_6,0.1383565992116928
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,7,random_7,0.11096302121877666
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,8,random_8,0.15407024025917052
internal,rand_pair,Your random-pair,random,8,0,0.05,2048,9,random_9,0.1440065205097198
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,0,random_0,0.11034632623195643
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,1,random_1,0.1290857523679733
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,2,random_2,0.10882012248039241
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,3,random_3,0.10877663791179652
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,4,random_4,0.1062256500124931
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,5,random_5,0.1290390133857727
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,6,random_6,0.123920926451683
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,7,random_7,0.11705984622240062
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,8,random_8,0.1117513746023178
internal,std_L1,Your L1 mixed,random,8,0,0.05,512,9,random_9,0.10503635406494136
internal,topK20,Your TopK mixed,random,8,0,0.05,512,0,random_0,0.10815714448690408
internal,topK20,Your TopK mixed,random,8,0,0.05,512,1,random_1,0.10931051969528191
internal,topK20,Your TopK mixed,random,8,0,0.05,512,2,random_2,0.09614159464836117
