source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,0,exacerbate,0.1462285757064819
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,1,mitigate,0.1459713518619537
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,2,ameliorate,0.16815083920955656
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,3,Redis,0.13528654277324675
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,4,Kubernetes,0.15639420151710504
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,5,arbitrage,0.16404077708721157
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,6,PostgreSQL,0.12980238795280452
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,7,metaphor about memory loss,0.15087205469608303
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,8,telomerase,0.13919961154460905
internal,std_L1,Your L1 mixed,weak,10,0,0.05,2048,9,regret about financial decisions,0.15420533716678614
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,0,exacerbate,0.1779352188110351
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,1,mitigate,0.17754476964473723
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,2,ameliorate,0.16784697175025937
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,3,Redis,0.1901282340288162
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,4,Kubernetes,0.1815963685512542
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,5,arbitrage,0.16644829511642453
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,6,PostgreSQL,0.1332403272390365
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,7,metaphor about memory loss,0.18237607479095455
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,8,telomerase,0.1378702104091644
internal,topK20,Your TopK mixed,weak,10,0,0.05,2048,9,regret about financial decisions,0.2205559909343719
internal,delta,Your paired delta,weak,10,0,0.05,2048,0,exacerbate,0.5018992245197296
